HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,A-Junction,RCat,BUS,2WMV,dCount,HGVR2,A Ref E,AMV,Hour,HGVR3,iDir,B-Junction,PC,CAR,B Ref E,Year,HGVA5,A Ref N,B Ref N,S Ref E,CP,Road,HGVA3
7,South West,E06000025,176100,54,South Gloucestershire,5,182,Station Road Link,PR,0,15,9/11/2009,23,366580,1180,12,9,N,B4465,0,929,367490,2009,9,174740,176520,367330,77050,A4174,1
15,South West,E06000025,176100,68,South Gloucestershire,5,169,Station Road Link,PR,4,32,9/11/2009,30,366580,1177,12,8,S,B4465,0,904,367490,2009,10,174740,176520,367330,77050,A4174,0
