HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,A-Junction,RCat,BUS,2WMV,dCount,HGVR2,A Ref E,AMV,Hour,HGVR3,iDir,B-Junction,PC,CAR,B Ref E,Year,HGVA5,A Ref N,B Ref N,Road Name,CP Location,S Ref E,CP,Road,HGVA3
0,South West,E06000022,160000,34,Bath and North East Somerset,8,59,A39,PR,2,2,10/20/2008,10,362935,347,14,2,N,A368,1,250,362468,2008,9,156853,161884,,,361900,16354,A37,5
1,South West,E06000022,160000,40,Bath and North East Somerset,4,89,A39,PR,3,3,10/20/2008,15,362935,377,14,4,S,A368,0,242,362468,2008,11,156853,161884,,,361900,16354,A37,5
4,South West,E06000025,177600,74,South Gloucestershire,9,178,A432,PU,10,10,10/20/2008,35,366070,1118,14,10,N,Emersons Way roundabout,1,846,367460,2008,11,178610,177080,,,367000,99051,A4174,5
16,South West,E06000025,177600,135,South Gloucestershire,25,208,A432,PU,8,7,10/20/2008,52,366070,1502,14,13,S,Emersons Way roundabout,5,1144,367460,2008,24,178610,177080,,,367000,99051,A4174,5
0,South West,E06000023,172738,0,"Bristol, City of",0,1,,UU,0,0,10/20/2008,0,,4,14,0,E,,0,3,,2008,0,,,WINDSOR AVENUE,East of St Annes Road,363815,946808,U,0
0,South West,E06000023,172738,0,"Bristol, City of",0,0,,UU,0,0,10/20/2008,0,,0,14,0,W,,0,0,,2008,0,,,WINDSOR AVENUE,East of St Annes Road,363815,946808,U,0
0,South West,E06000023,173775,0,"Bristol, City of",0,5,,UU,0,1,10/20/2008,0,,46,14,0,N,,0,40,,2008,0,,,KING SQUARE,North of Jamaica Street,358914,946820,U,0
0,South West,E06000023,173775,1,"Bristol, City of",0,3,,UU,0,0,10/20/2008,1,,27,14,0,S,,0,23,,2008,0,,,KING SQUARE,North of Jamaica Street,358914,946820,U,0
0,South West,E06000024,162642,0,North Somerset,0,0,,UR,0,0,10/20/2008,0,,8,14,0,E,,0,8,,2008,0,,,ASH CLOSE,"South of Willow Close, St Georges",337706,947266,U,0
0,South West,E06000024,162642,0,North Somerset,0,1,,UR,0,0,10/20/2008,0,,4,14,0,W,,0,3,,2008,0,,,ASH CLOSE,"South of Willow Close, St Georges",337706,947266,U,0
