HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,A-Junction,RCat,BUS,2WMV,dCount,HGVR2,A Ref E,AMV,Hour,HGVR3,iDir,B-Junction,PC,CAR,B Ref E,Year,HGVA5,A Ref N,B Ref N,S Ref E,CP,Road,HGVA3
7,South West,E06000023,170955,80,"Bristol, City of",8,168,A38,PU,2,9,6/19/2009,39,357680,1207,12,9,N,A3029 Ashton Road/Winterstoke Underpass,7,948,356680,2009,12,170620,171490,357000,16959,A3029,5
8,South West,E06000023,170955,67,"Bristol, City of",6,215,A38,PU,5,14,6/19/2009,34,357680,1245,12,10,S,A3029 Ashton Road/Winterstoke Underpass,3,944,356680,2009,5,170620,171490,357000,16959,A3029,4
