HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,A-Junction,RCat,BUS,2WMV,dCount,HGVR2,A Ref E,AMV,Hour,HGVR3,iDir,B-Junction,PC,CAR,B Ref E,Year,HGVA5,A Ref N,B Ref N,S Ref E,CP,Road,HGVA3
16,South West,E06000025,176100,73,South Gloucestershire,2,173,Station Road Link,PR,4,15,10/23/2013,33,366580,1280,12,12,N,B4465,1,1015,367490,2013,6,174740,176520,367330,77050,A4174,4
10,South West,E06000025,176100,81,South Gloucestershire,9,152,Station Road Link,PR,6,11,10/23/2013,39,366580,1233,12,12,S,B4465,0,983,367490,2013,11,174740,176520,367330,77050,A4174,0
