HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,A-Junction,RCat,BUS,2WMV,dCount,HGVR2,A Ref E,AMV,Hour,HGVR3,iDir,B-Junction,PC,CAR,B Ref E,Year,HGVA5,A Ref N,B Ref N,Road Name,CP Location,S Ref E,CP,Road,HGVA3
12,South West,E06000024,157500,303,North Somerset,83,380,LA Boundary,TM,31,21,6/27/2008,87,337520,3771,14,15,N,21,0,3036,337878,2008,81,155010,162596,,,338400,16021,M5,25
2,South West,E06000024,157500,188,North Somerset,51,334,LA Boundary,TM,25,17,6/27/2008,45,337520,4022,14,12,S,21,0,3458,337878,2008,68,155010,162596,,,338400,16021,M5,10
3,South West,E06000023,173458,22,"Bristol, City of",1,149,A38 St Johns Bridge,PU,83,17,6/27/2008,16,358730,1057,14,1,N,A4440,25,786,359050,2008,1,173270,173550,,,358992,74772,A38,0
2,South West,E06000023,173458,26,"Bristol, City of",0,116,A38 St Johns Bridge,PU,94,7,6/27/2008,18,358730,1031,14,2,S,A4440,15,788,359050,2008,0,173270,173550,,,358992,74772,A38,4
1,South West,E06000023,178600,10,"Bristol, City of",0,67,,UU,6,15,6/27/2008,8,,638,14,1,N,,7,540,,2008,0,,,PEN PARK ROAD,North of Royston Walk,358860,930429,U,0
1,South West,E06000023,178600,11,"Bristol, City of",1,81,,UU,3,14,6/27/2008,8,,724,14,1,S,,7,615,,2008,0,,,PEN PARK ROAD,North of Royston Walk,358860,930429,U,0
0,South West,E06000023,173916,0,"Bristol, City of",0,2,,UU,0,1,6/27/2008,0,,3,14,0,E,,1,0,,2008,0,,,BOURNEVILLE ROAD,West of Poets Close,361522,946788,U,0
0,South West,E06000023,173916,0,"Bristol, City of",0,0,,UU,0,0,6/27/2008,0,,9,14,0,W,,0,9,,2008,0,,,BOURNEVILLE ROAD,West of Poets Close,361522,946788,U,0
1,South West,E06000024,169122,23,North Somerset,3,35,,BR,2,0,6/27/2008,11,,375,14,0,N,,1,315,,2008,7,,,KENN ROAD,"North of Kenn Street, Kenn",341386,947246,B3133,1
0,South West,E06000024,169122,13,North Somerset,2,56,,BR,0,5,6/27/2008,9,,525,14,1,S,,1,451,,2008,0,,,KENN ROAD,"North of Kenn Street, Kenn",341386,947246,B3133,1
