HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,RCat,BUS,2WMV,dCount,HGVR2,AMV,Hour,HGVR3,iDir,PC,CAR,Year,HGVA5,Road Name,CP Location,S Ref E,CP,Road,HGVA3
0,South West,E06000025,182301,7,South Gloucestershire,0,42,UU,4,5,3/22/2002,3,499,12,3,N,2,441,2002,1,Brook Way,north of Cornfield Close,361306,952441,U,0
0,South West,E06000025,182301,4,South Gloucestershire,0,38,UU,5,2,3/22/2002,3,462,12,1,S,3,413,2002,0,Brook Way,north of Cornfield Close,361306,952441,U,0
