HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,A-Junction,RCat,BUS,2WMV,dCount,HGVR2,A Ref E,AMV,Hour,HGVR3,iDir,B-Junction,PC,CAR,B Ref E,Year,HGVA5,A Ref N,B Ref N,Road Name,CP Location,S Ref E,CP,Road,HGVA3
11,South West,E06000025,185000,21,South Gloucestershire,2,51,A432,PR,3,9,4/4/2008,4,376289,389,15,3,N,A433,0,305,379206,2008,0,181174,186365,,,378540,36510,A46,1
2,South West,E06000025,185000,15,South Gloucestershire,0,68,A432,PR,5,6,4/4/2008,6,376289,410,15,3,S,A433,0,316,379206,2008,3,181174,186365,,,378540,36510,A46,1
1,South West,E06000024,160043,5,North Somerset,0,75,A370 Windwhistle Road,PU,2,5,4/4/2008,3,332140,633,15,1,N,A370,6,546,332680,2008,0,159230,160900,,,332446,37660,A3033,0
0,South West,E06000024,160043,2,North Somerset,1,82,A370 Windwhistle Road,PU,4,3,4/4/2008,1,332140,660,15,0,S,A370,7,569,332680,2008,0,159230,160900,,,332446,37660,A3033,0
0,South West,E06000023,173337,1,"Bristol, City of",0,38,,UU,0,7,4/4/2008,1,,226,15,0,E,,2,180,,2008,0,,,BEAUFORT ROAD,East of Headwick Street,362055,946802,U,0
0,South West,E06000023,173337,0,"Bristol, City of",0,50,,UU,0,7,4/4/2008,0,,310,15,0,W,,6,253,,2008,0,,,BEAUFORT ROAD,East of Headwick Street,362055,946802,U,0
0,South West,E06000024,157807,0,North Somerset,0,1,,UU,0,0,4/4/2008,0,,10,15,0,N,,0,9,,2008,0,,,PURN LANE,"South of Purn Close, Bleadon Hill",333031,947276,U,0
0,South West,E06000024,157807,0,North Somerset,0,0,,UU,0,0,4/4/2008,0,,13,15,0,S,,0,13,,2008,0,,,PURN LANE,"South of Purn Close, Bleadon Hill",333031,947276,U,0
0,South West,E06000024,160155,0,North Somerset,0,2,,UU,0,1,4/4/2008,0,,18,15,0,E,,2,15,,2008,0,,,KENN CLOSE,"East of Brue Close, W-s-M",333104,947281,U,0
0,South West,E06000024,160155,0,North Somerset,0,1,,UU,0,0,4/4/2008,0,,25,15,0,W,,0,24,,2008,0,,,KENN CLOSE,"East of Brue Close, W-s-M",333104,947281,U,0
0,South West,E06000024,162162,1,North Somerset,0,0,,UU,0,1,4/4/2008,1,,16,15,0,N,,0,14,,2008,0,,,Snowdon Vale,"South of Pennine Gardens, W-s-M",333237,947284,U,0
0,South West,E06000024,162162,1,North Somerset,0,1,,UU,0,0,4/4/2008,1,,22,15,0,S,,0,20,,2008,0,,,Snowdon Vale,"South of Pennine Gardens, W-s-M",333237,947284,U,0
