HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,A-Junction,RCat,BUS,2WMV,dCount,HGVR2,A Ref E,AMV,Hour,HGVR3,iDir,B-Junction,PC,CAR,B Ref E,Year,HGVA5,A Ref N,B Ref N,Road Name,CP Location,S Ref E,CP,Road,HGVA3
0,South West,E06000023,173180,7,"Bristol, City of",0,83,A38,PU,37,17,6/16/2008,7,358510,830,16,0,E,A4176,62,686,357330,2008,0,172750,174840,,,358020,7617,A4018,0
0,South West,E06000023,173180,7,"Bristol, City of",2,105,A38,PU,36,24,6/16/2008,4,358510,1138,16,1,W,A4176,71,966,357330,2008,0,172750,174840,,,358020,7617,A4018,0
6,South West,E06000025,188200,335,South Gloucestershire,109,382,Junction 15/20 M5/M4),TM,16,18,6/16/2008,76,361812,3368,16,18,N,Junction 14 M5,0,2617,368807,2008,107,183775,193200,,,366000,26020,M5,19
5,South West,E06000025,188200,265,South Gloucestershire,82,347,Junction 15/20 M5/M4),TM,8,15,6/16/2008,67,361812,2501,16,16,S,Junction 14 M5,0,1866,368807,2008,80,183775,193200,,,366000,26020,M5,15
0,South West,E06000023,176002,0,"Bristol, City of",0,0,,UU,0,1,6/16/2008,0,,23,16,0,N,,0,22,,2008,0,,,BRANSCOMBE ROAD,North of Roman Way,355350,946774,U,0
0,South West,E06000023,176002,0,"Bristol, City of",0,1,,UU,0,1,6/16/2008,0,,47,16,0,S,,0,45,,2008,0,,,BRANSCOMBE ROAD,North of Roman Way,355350,946774,U,0
0,South West,E06000023,168185,0,"Bristol, City of",0,0,,UU,0,0,6/16/2008,0,,5,16,0,N,,0,5,,2008,0,,,MATERMAN ROAD,South of Holloway Road,362313,946796,U,0
0,South West,E06000023,168185,0,"Bristol, City of",0,1,,UU,0,0,6/16/2008,0,,17,16,0,S,,0,16,,2008,0,,,MATERMAN ROAD,South of Holloway Road,362313,946796,U,0
0,South West,E06000023,171123,0,"Bristol, City of",0,9,,UU,0,1,6/16/2008,0,,40,16,0,N,,1,30,,2008,0,,,British Road,South of South Road,358020,966007,U,0
0,South West,E06000023,171123,0,"Bristol, City of",0,3,,UU,0,0,6/16/2008,0,,23,16,0,S,,5,20,,2008,0,,,British Road,South of South Road,358020,966007,U,0
