HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,RCat,BUS,2WMV,dCount,HGVR2,AMV,Hour,HGVR3,iDir,PC,CAR,Year,HGVA5,Road Name,CP Location,S Ref E,CP,Road,HGVA3
0,South West,E06000023,174260,2,"Bristol, City of",0,11,UU,0,2,7/8/2004,1,113,7,1,N,2,98,2004,0,HAMPTON ROAD,North of Waverley Road,357950,930430,U,0
0,South West,E06000023,174260,1,"Bristol, City of",0,13,UU,0,0,7/8/2004,1,255,7,0,S,6,241,2004,0,HAMPTON ROAD,North of Waverley Road,357950,930430,U,0
