HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,A-Junction,RCat,BUS,2WMV,dCount,HGVR2,A Ref E,AMV,Hour,HGVR3,iDir,B-Junction,PC,CAR,B Ref E,Year,HGVA5,A Ref N,B Ref N,Road Name,CP Location,S Ref E,CP,Road,HGVA3
0,South West,E06000023,173180,12,"Bristol, City of",3,98,A38,PU,30,24,6/16/2008,7,358510,957,7,1,E,A4176,89,793,357330,2008,0,172750,174840,,,358020,7617,A4018,1
0,South West,E06000023,173180,30,"Bristol, City of",1,111,A38,PU,32,14,6/16/2008,22,358510,821,7,4,W,A4176,35,634,357330,2008,0,172750,174840,,,358020,7617,A4018,3
10,South West,E06000025,188200,343,South Gloucestershire,101,561,Junction 15/20 M5/M4),TM,10,12,6/16/2008,110,361812,3532,7,19,N,Junction 14 M5,0,2606,368807,2008,84,183775,193200,,,366000,26020,M5,19
18,South West,E06000025,188200,462,South Gloucestershire,148,582,Junction 15/20 M5/M4),TM,3,24,6/16/2008,164,361812,3744,7,36,S,Junction 14 M5,0,2673,368807,2008,82,183775,193200,,,366000,26020,M5,14
0,South West,E06000023,176002,0,"Bristol, City of",0,4,,UU,0,0,6/16/2008,0,,17,7,0,N,,1,13,,2008,0,,,BRANSCOMBE ROAD,North of Roman Way,355350,946774,U,0
0,South West,E06000023,176002,2,"Bristol, City of",0,4,,UU,0,1,6/16/2008,2,,47,7,0,S,,0,40,,2008,0,,,BRANSCOMBE ROAD,North of Roman Way,355350,946774,U,0
0,South West,E06000023,168185,0,"Bristol, City of",0,3,,UU,0,0,6/16/2008,0,,8,7,0,N,,0,5,,2008,0,,,MATERMAN ROAD,South of Holloway Road,362313,946796,U,0
0,South West,E06000023,168185,0,"Bristol, City of",0,0,,UU,0,0,6/16/2008,0,,3,7,0,S,,0,3,,2008,0,,,MATERMAN ROAD,South of Holloway Road,362313,946796,U,0
0,South West,E06000023,171123,1,"Bristol, City of",0,14,,UU,0,1,6/16/2008,1,,63,7,0,N,,3,47,,2008,0,,,British Road,South of South Road,358020,966007,U,0
0,South West,E06000023,171123,0,"Bristol, City of",0,3,,UU,0,0,6/16/2008,0,,9,7,0,S,,3,6,,2008,0,,,British Road,South of South Road,358020,966007,U,0
