HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,A-Junction,RCat,BUS,2WMV,dCount,HGVR2,A Ref E,AMV,Hour,HGVR3,iDir,B-Junction,PC,CAR,B Ref E,Year,HGVA5,A Ref N,B Ref N,S Ref E,CP,Road,HGVA3
13,South West,E06000024,169360,50,North Somerset,4,70,Station Road Backwell,PR,7,6,5/28/2004,18,348690,507,10,8,N,B3130,2,374,352100,2004,5,168590,169290,351500,27028,A370,2
11,South West,E06000024,169360,44,North Somerset,6,56,Station Road Backwell,PR,7,3,5/28/2004,16,348690,436,10,7,S,B3130,0,326,352100,2004,3,168590,169290,351500,27028,A370,1
