HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,RCat,BUS,2WMV,dCount,HGVR2,AMV,Hour,HGVR3,iDir,PC,CAR,Year,HGVA5,Road Name,CP Location,S Ref E,CP,Road,HGVA3
0,South West,E06000022,162853,20,Bath and North East Somerset,1,70,CU,4,8,10/3/2011,19,482,12,0,E,4,380,2011,0,RUSH HILL,"Rush Hill, Bath",372990,946669,C,0
0,South West,E06000022,162853,18,Bath and North East Somerset,1,87,CU,3,9,10/3/2011,16,578,12,0,W,2,461,2011,1,RUSH HILL,"Rush Hill, Bath",372990,946669,C,0
0,South West,E06000025,189580,3,South Gloucestershire,0,17,CU,2,0,10/3/2011,0,169,12,1,E,1,147,2011,1,GROVESEND ROAD,"east of Malvern Drive, Thornbury",364935,947508,C,1
0,South West,E06000025,189580,3,South Gloucestershire,0,11,CU,1,1,10/3/2011,2,139,12,1,W,1,123,2011,0,GROVESEND ROAD,"east of Malvern Drive, Thornbury",364935,947508,C,0
