HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,A-Junction,RCat,BUS,2WMV,dCount,HGVR2,A Ref E,AMV,Hour,HGVR3,iDir,B-Junction,PC,CAR,B Ref E,Year,HGVA5,A Ref N,B Ref N,Road Name,CP Location,S Ref E,CP,Road,HGVA3
7,South West,E06000024,157500,344,North Somerset,90,299,LA Boundary,TM,5,5,10/7/2014,94,337520,2143,12,21,N,,0,1490,337878,2014,105,155010,162596,,,338400,16021,M5,27
15,South West,E06000024,157500,273,North Somerset,120,223,LA Boundary,TM,3,5,10/7/2014,67,337520,1716,12,19,S,,0,1212,337878,2014,49,155010,162596,,,338400,16021,M5,3
2,South West,E06000022,165000,28,Bath and North East Somerset,3,61,A4(T),PR,1,2,10/7/2014,10,371367,378,12,3,E,Connection Rd,0,286,372440,2014,6,165575,164810,,,372200,16122,A36,4
3,South West,E06000022,165000,28,Bath and North East Somerset,2,82,A4(T),PR,3,1,10/7/2014,13,371367,442,12,2,W,Connection Rd,0,328,372440,2014,3,165575,164810,,,372200,16122,A36,5
11,South West,E06000025,176100,94,South Gloucestershire,7,180,Station Road Link,PR,2,11,10/7/2014,42,366580,1237,12,12,N,B4465,2,950,367490,2014,19,174740,176520,,,367330,77050,A4174,3
17,South West,E06000025,176100,76,South Gloucestershire,13,182,Station Road Link,PR,2,10,10/7/2014,24,366580,1077,12,9,S,B4465,0,807,367490,2014,10,174740,176520,,,367330,77050,A4174,3
0,South West,E06000022,169664,5,Bath and North East Somerset,0,46,,CR,0,2,10/7/2014,3,,347,12,2,N,,1,294,,2014,0,,,LANSDOWN ROAD,"Lansdown, between Hamilton road and college road junctions",372226,946664,C,0
0,South West,E06000022,169664,5,Bath and North East Somerset,0,38,,CR,2,0,10/7/2014,3,,334,12,2,S,,0,289,,2014,0,,,LANSDOWN ROAD,"Lansdown, between Hamilton road and college road junctions",372226,946664,C,0
0,South West,E06000023,170896,1,"Bristol, City of",0,3,,UU,0,0,10/7/2014,1,,36,12,0,N,,1,32,,2014,0,,,GORE'S MARSH ROAD,South of Deep Combe Road,357338,946770,U,0
0,South West,E06000023,170896,0,"Bristol, City of",0,4,,UU,0,0,10/7/2014,0,,16,12,0,S,,0,12,,2014,0,,,GORE'S MARSH ROAD,South of Deep Combe Road,357338,946770,U,0
