HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,A-Junction,RCat,BUS,2WMV,dCount,HGVR2,A Ref E,AMV,Hour,HGVR3,iDir,B-Junction,PC,CAR,B Ref E,Year,HGVA5,A Ref N,B Ref N,Road Name,CP Location,S Ref E,CP,Road,HGVA3
0,South West,E06000025,173000,26,South Gloucestershire,9,97,A4174 spur,PU,4,12,9/27/2005,14,365420,1344,18,1,N,A420,2,1205,366590,2005,1,172170,173540,,,366460,99052,A4174,1
1,South West,E06000025,173000,33,South Gloucestershire,6,179,A4174 spur,PU,2,29,9/27/2005,17,365420,2043,18,3,S,A420,2,1800,366590,2005,5,172170,173540,,,366460,99052,A4174,1
0,South West,E06000024,162116,4,North Somerset,0,36,,BU,6,9,9/27/2005,4,,593,18,0,N,,22,538,,2005,0,,,Locking Road,"South of Mead Vale, W-s-M",334906,930009,B3440,0
1,South West,E06000024,162116,2,North Somerset,0,51,,BU,7,13,9/27/2005,1,,662,18,0,S,,6,589,,2005,0,,,Locking Road,"South of Mead Vale, W-s-M",334906,930009,B3440,0
