HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,A-Junction,RCat,BUS,2WMV,dCount,HGVR2,A Ref E,AMV,Hour,HGVR3,iDir,B-Junction,PC,CAR,B Ref E,Year,HGVA5,A Ref N,B Ref N,Road Name,CP Location,S Ref E,CP,Road,HGVA3
7,South West,E06000023,170000,89,"Bristol, City of",7,202,Emery Rd,PR,12,11,5/2/2002,58,362650,1084,11,10,E,LA Boundary,1,770,363720,2002,5,170180,169810,,,363100,36132,A4,2
12,South West,E06000023,170000,116,"Bristol, City of",5,187,Emery Rd,PR,17,19,5/2/2002,72,362650,1141,11,9,W,LA Boundary,0,802,363720,2002,15,170180,169810,,,363100,36132,A4,3
10,South West,E06000024,166200,360,North Somerset,69,264,21,TM,15,8,5/2/2002,103,337878,2426,11,13,N,20,0,1779,341771,2002,130,162596,170680,,,340200,56013,M5,35
17,South West,E06000024,166200,380,North Somerset,82,228,21,TM,10,1,5/2/2002,127,337878,2630,11,15,S,20,0,2011,341771,2002,116,162596,170680,,,340200,56013,M5,23
0,South West,E06000025,182100,1,South Gloucestershire,0,11,,BR,1,0,5/2/2002,1,,102,11,0,E,,0,89,,2002,0,,,Over Lane,,358200,964289,B4055,0
3,South West,E06000025,182100,6,South Gloucestershire,1,20,,BR,1,0,5/2/2002,1,,148,11,0,W,,0,121,,2002,1,,,Over Lane,,358200,964289,B4055,0
