HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,RCat,BUS,2WMV,dCount,HGVR2,AMV,Hour,HGVR3,iDir,PC,CAR,Year,HGVA5,Road Name,CP Location,S Ref E,CP,Road,HGVA3
1,South West,E06000023,174360,1,"Bristol, City of",0,83,UU,0,2,4/21/2008,0,411,16,0,N,0,325,2008,0,CHARLTON ROAD,North of Ingleside Road,363890,930423,U,0
0,South West,E06000023,174360,2,"Bristol, City of",0,67,UU,4,9,4/21/2008,2,516,16,0,S,3,434,2008,0,CHARLTON ROAD,North of Ingleside Road,363890,930423,U,0
0,South West,E06000023,175137,0,"Bristol, City of",0,0,UU,1,0,4/21/2008,0,11,16,0,E,0,10,2008,0,WESTMORELAND ROAD,West of Redland Road,357522,946814,U,0
0,South West,E06000023,175137,0,"Bristol, City of",0,1,UU,0,0,4/21/2008,0,19,16,0,W,0,18,2008,0,WESTMORELAND ROAD,West of Redland Road,357522,946814,U,0
0,South West,E06000024,174099,0,North Somerset,0,1,CR,0,0,4/21/2008,0,2,16,0,N,0,1,2008,0,COMMON LANE,Lower Failand,351828,947254,C,0
0,South West,E06000024,174099,0,North Somerset,0,1,CR,0,0,4/21/2008,0,1,16,0,S,0,0,2008,0,COMMON LANE,Lower Failand,351828,947254,C,0
0,South West,E06000024,163592,0,North Somerset,0,1,UU,0,0,4/21/2008,0,10,16,0,N,0,9,2008,0,LADYE WAKE,"South of St Marks Road, Worle",335959,947282,U,0
0,South West,E06000024,163592,0,North Somerset,0,1,UU,0,2,4/21/2008,0,17,16,0,S,0,14,2008,0,LADYE WAKE,"South of St Marks Road, Worle",335959,947282,U,0
0,South West,E06000025,174897,0,South Gloucestershire,0,0,UU,0,0,4/21/2008,0,6,16,0,E,0,6,2008,0,HILLTOP ROAD,"west of St Stephens Road, Soundwell",364948,947530,U,0
0,South West,E06000025,174897,0,South Gloucestershire,0,1,UU,0,0,4/21/2008,0,8,16,0,W,2,7,2008,0,HILLTOP ROAD,"west of St Stephens Road, Soundwell",364948,947530,U,0
