HGVR4,Region Name (GO),ONS LACode,S Ref N,HGV,ONS LA Name,HGVA6,LGV,A-Junction,RCat,BUS,2WMV,dCount,HGVR2,A Ref E,AMV,Hour,HGVR3,iDir,B-Junction,PC,CAR,B Ref E,Year,HGVA5,A Ref N,B Ref N,Road Name,CP Location,S Ref E,CP,Road,HGVA3
17,South West,E06000023,176100,82,"Bristol, City of",12,171,A4162,PU,6,16,5/18/2012,31,354570,1004,15,11,N,A4176,2,729,356400,2012,7,176620,173275,,,355000,16124,A4,4
23,South West,E06000023,176100,72,"Bristol, City of",5,179,A4162,PU,11,13,5/18/2012,27,354570,988,15,11,S,A4176,11,713,356400,2012,3,176620,173275,,,355000,16124,A4,3
0,South West,E06000025,176130,10,South Gloucestershire,1,36,,BR,1,3,5/18/2012,6,,297,15,2,E,,4,247,,2012,0,,,Shortwood Hill,east of Cattybrook Road,367977,947492,B4465,1
1,South West,E06000025,176130,4,South Gloucestershire,0,19,,BR,0,3,5/18/2012,1,,156,15,2,W,,2,130,,2012,0,,,Shortwood Hill,east of Cattybrook Road,367977,947492,B4465,0
