HGVR2,BUS,ONS LACode,HGVR4,AMV,Region Name (GO),CP Location,ONS LA Name,HGVA3,CP,HGVA6,HGV,iDir,LGV,dCount,Year,S Ref N,2WMV,HGVA5,CAR,Road,HGVR3,RCat,S Ref E,PC,Road Name,Hour
0,0,E06000024,0,91,South West,Long Ashton,North Somerset,0,947277,0,0,N,7,9/27/2013,2013,170520,2,0,82,U,0,UU,354792,6,THEYNES CROFT,7
0,0,E06000024,0,114,South West,Long Ashton,North Somerset,0,947277,0,0,N,4,9/27/2013,2013,170520,3,0,107,U,0,UU,354792,1,THEYNES CROFT,8
0,0,E06000024,0,84,South West,Long Ashton,North Somerset,0,947277,0,0,N,6,9/27/2013,2013,170520,1,0,77,U,0,UU,354792,1,THEYNES CROFT,9
0,0,E06000024,0,54,South West,Long Ashton,North Somerset,0,947277,0,0,N,10,9/27/2013,2013,170520,0,0,44,U,0,UU,354792,1,THEYNES CROFT,10
0,0,E06000024,0,60,South West,Long Ashton,North Somerset,0,947277,0,0,N,7,9/27/2013,2013,170520,0,0,53,U,0,UU,354792,0,THEYNES CROFT,11
0,0,E06000024,0,53,South West,Long Ashton,North Somerset,0,947277,0,0,N,7,9/27/2013,2013,170520,0,0,46,U,0,UU,354792,0,THEYNES CROFT,12
0,0,E06000024,0,59,South West,Long Ashton,North Somerset,0,947277,0,0,N,3,9/27/2013,2013,170520,1,0,55,U,0,UU,354792,0,THEYNES CROFT,13
0,0,E06000024,0,37,South West,Long Ashton,North Somerset,0,947277,0,0,N,6,9/27/2013,2013,170520,0,0,31,U,0,UU,354792,2,THEYNES CROFT,14
0,0,E06000024,0,105,South West,Long Ashton,North Somerset,0,947277,0,0,N,10,9/27/2013,2013,170520,1,0,94,U,0,UU,354792,0,THEYNES CROFT,15
0,0,E06000024,0,56,South West,Long Ashton,North Somerset,0,947277,0,0,N,7,9/27/2013,2013,170520,1,0,48,U,0,UU,354792,1,THEYNES CROFT,16
1,0,E06000024,0,78,South West,Long Ashton,North Somerset,0,947277,0,1,N,7,9/27/2013,2013,170520,1,0,69,U,0,UU,354792,0,THEYNES CROFT,17
0,0,E06000024,0,32,South West,Long Ashton,North Somerset,0,947277,0,0,N,3,9/27/2013,2013,170520,0,0,29,U,0,UU,354792,1,THEYNES CROFT,18
0,0,E06000024,0,21,South West,Long Ashton,North Somerset,0,947277,0,0,S,7,9/27/2013,2013,170520,0,0,14,U,0,UU,354792,2,THEYNES CROFT,7
0,0,E06000024,0,95,South West,Long Ashton,North Somerset,0,947277,0,0,S,6,9/27/2013,2013,170520,0,0,89,U,0,UU,354792,0,THEYNES CROFT,8
0,0,E06000024,0,39,South West,Long Ashton,North Somerset,0,947277,0,0,S,6,9/27/2013,2013,170520,0,0,33,U,0,UU,354792,0,THEYNES CROFT,9
0,0,E06000024,0,43,South West,Long Ashton,North Somerset,0,947277,0,0,S,12,9/27/2013,2013,170520,0,0,31,U,0,UU,354792,0,THEYNES CROFT,10
0,0,E06000024,0,53,South West,Long Ashton,North Somerset,0,947277,0,0,S,8,9/27/2013,2013,170520,1,0,44,U,0,UU,354792,0,THEYNES CROFT,11
0,0,E06000024,0,50,South West,Long Ashton,North Somerset,0,947277,0,0,S,5,9/27/2013,2013,170520,1,0,44,U,0,UU,354792,0,THEYNES CROFT,12
0,0,E06000024,0,65,South West,Long Ashton,North Somerset,0,947277,0,0,S,4,9/27/2013,2013,170520,0,0,61,U,0,UU,354792,0,THEYNES CROFT,13
0,0,E06000024,0,70,South West,Long Ashton,North Somerset,0,947277,0,0,S,9,9/27/2013,2013,170520,2,0,59,U,0,UU,354792,1,THEYNES CROFT,14
0,0,E06000024,0,107,South West,Long Ashton,North Somerset,0,947277,0,0,S,4,9/27/2013,2013,170520,1,0,102,U,0,UU,354792,1,THEYNES CROFT,15
1,0,E06000024,0,81,South West,Long Ashton,North Somerset,0,947277,0,1,S,8,9/27/2013,2013,170520,0,0,72,U,0,UU,354792,0,THEYNES CROFT,16
0,0,E06000024,0,93,South West,Long Ashton,North Somerset,0,947277,0,0,S,3,9/27/2013,2013,170520,0,0,90,U,0,UU,354792,3,THEYNES CROFT,17
0,0,E06000024,0,61,South West,Long Ashton,North Somerset,0,947277,0,0,S,1,9/27/2013,2013,170520,2,0,58,U,0,UU,354792,1,THEYNES CROFT,18
