HGVR2,BUS,ONS LACode,A Ref E,HGVR4,AMV,Region Name (GO),A-Junction,B Ref N,ONS LA Name,HGVA3,CP,HGVA6,HGV,iDir,LGV,dCount,Year,S Ref N,2WMV,HGVA5,CAR,Road,B Ref E,HGVR3,RCat,S Ref E,PC,A Ref N,B-Junction,Hour
18,24,E06000023,357100,1,1094,South West,A3029,172520,"Bristol, City of",1,8599,0,24,S,151,4/1/2009,2009,172436,10,1,885,A4,357170,3,PU,357134,11,172340,Hotwells Rd,7
21,34,E06000023,357100,5,1492,South West,A3029,172520,"Bristol, City of",0,8599,1,34,S,132,4/1/2009,2009,172436,19,2,1273,A4,357170,5,PU,357134,26,172340,Hotwells Rd,8
29,47,E06000023,357100,5,1046,South West,A3029,172520,"Bristol, City of",0,8599,2,42,S,143,4/1/2009,2009,172436,11,3,803,A4,357170,3,PU,357134,19,172340,Hotwells Rd,9
33,40,E06000023,357100,0,983,South West,A3029,172520,"Bristol, City of",0,8599,2,38,S,157,4/1/2009,2009,172436,12,0,736,A4,357170,3,PU,357134,9,172340,Hotwells Rd,10
19,34,E06000023,357100,9,1162,South West,A3029,172520,"Bristol, City of",1,8599,1,37,S,216,4/1/2009,2009,172436,8,1,867,A4,357170,6,PU,357134,6,172340,Hotwells Rd,11
23,30,E06000023,357100,5,1223,South West,A3029,172520,"Bristol, City of",1,8599,0,35,S,168,4/1/2009,2009,172436,9,2,981,A4,357170,4,PU,357134,3,172340,Hotwells Rd,12
21,37,E06000023,357100,6,1223,South West,A3029,172520,"Bristol, City of",1,8599,0,33,S,156,4/1/2009,2009,172436,25,2,972,A4,357170,3,PU,357134,18,172340,Hotwells Rd,13
19,50,E06000023,357100,8,1188,South West,A3029,172520,"Bristol, City of",0,8599,2,34,S,146,4/1/2009,2009,172436,23,1,935,A4,357170,4,PU,357134,8,172340,Hotwells Rd,14
18,35,E06000023,357100,4,1489,South West,A3029,172520,"Bristol, City of",0,8599,0,28,S,211,4/1/2009,2009,172436,28,4,1187,A4,357170,2,PU,357134,15,172340,Hotwells Rd,15
13,48,E06000023,357100,4,2015,South West,A3029,172520,"Bristol, City of",0,8599,0,18,S,222,4/1/2009,2009,172436,61,0,1666,A4,357170,1,PU,357134,15,172340,Hotwells Rd,16
8,33,E06000023,357100,0,2071,South West,A3029,172520,"Bristol, City of",0,8599,0,9,S,120,4/1/2009,2009,172436,48,0,1861,A4,357170,1,PU,357134,56,172340,Hotwells Rd,17
3,30,E06000023,357100,0,1001,South West,A3029,172520,"Bristol, City of",0,8599,0,3,S,53,4/1/2009,2009,172436,34,0,881,A4,357170,0,PU,357134,43,172340,Hotwells Rd,18
