HGVR2,BUS,ONS LACode,A Ref E,HGVR4,AMV,Region Name (GO),A-Junction,B Ref N,ONS LA Name,HGVA3,CP,HGVA6,HGV,iDir,LGV,dCount,Year,S Ref N,2WMV,HGVA5,CAR,Road,B Ref E,HGVR3,RCat,S Ref E,PC,A Ref N,B-Junction,Hour
4,7,E06000025,367246,1,417,South West,A431,173307,South Gloucestershire,0,47725,0,5,N,65,4/28/2003,2003,172000,4,0,336,A4175,367961,0,PU,367940,3,170119,A420,7
2,5,E06000025,367246,0,498,South West,A431,173307,South Gloucestershire,0,47725,0,7,N,53,4/28/2003,2003,172000,2,3,431,A4175,367961,2,PU,367940,0,170119,A420,8
11,7,E06000025,367246,0,298,South West,A431,173307,South Gloucestershire,1,47725,0,15,N,49,4/28/2003,2003,172000,1,1,226,A4175,367961,2,PU,367940,0,170119,A420,9
5,5,E06000025,367246,0,214,South West,A431,173307,South Gloucestershire,1,47725,0,8,N,38,4/28/2003,2003,172000,2,1,161,A4175,367961,1,PU,367940,1,170119,A420,10
2,5,E06000025,367246,0,209,South West,A431,173307,South Gloucestershire,0,47725,0,3,N,33,4/28/2003,2003,172000,2,1,166,A4175,367961,0,PU,367940,0,170119,A420,11
5,5,E06000025,367246,0,208,South West,A431,173307,South Gloucestershire,0,47725,0,5,N,33,4/28/2003,2003,172000,0,0,165,A4175,367961,0,PU,367940,0,170119,A420,12
2,5,E06000025,367246,0,244,South West,A431,173307,South Gloucestershire,2,47725,1,6,N,27,4/28/2003,2003,172000,1,1,205,A4175,367961,0,PU,367940,2,170119,A420,13
9,6,E06000025,367246,0,211,South West,A431,173307,South Gloucestershire,3,47725,1,16,N,19,4/28/2003,2003,172000,3,2,167,A4175,367961,1,PU,367940,0,170119,A420,14
1,8,E06000025,367246,0,325,South West,A431,173307,South Gloucestershire,1,47725,0,3,N,37,4/28/2003,2003,172000,1,1,276,A4175,367961,0,PU,367940,0,170119,A420,15
5,7,E06000025,367246,0,326,South West,A431,173307,South Gloucestershire,1,47725,1,12,N,48,4/28/2003,2003,172000,5,4,254,A4175,367961,1,PU,367940,2,170119,A420,16
