HGVR2,BUS,ONS LACode,HGVR4,AMV,Region Name (GO),CP Location,ONS LA Name,HGVA3,CP,HGVA6,HGV,iDir,LGV,dCount,Year,S Ref N,2WMV,HGVA5,CAR,Road,HGVR3,RCat,S Ref E,PC,Road Name,Hour
6,20,E06000023,1,305,South West,North of Temple Street,"Bristol, City of",1,946743,0,10,N,45,9/16/2010,2010,172727,5,1,225,B4053,1,BU,359243,17,VICTORIA STREET,7
2,17,E06000023,0,331,South West,North of Temple Street,"Bristol, City of",0,946743,0,2,N,34,9/16/2010,2010,172727,8,0,270,B4053,0,BU,359243,15,VICTORIA STREET,8
6,28,E06000023,1,358,South West,North of Temple Street,"Bristol, City of",0,946743,0,7,N,40,9/16/2010,2010,172727,4,0,279,B4053,0,BU,359243,11,VICTORIA STREET,9
8,29,E06000023,0,336,South West,North of Temple Street,"Bristol, City of",1,946743,0,10,N,36,9/16/2010,2010,172727,2,0,259,B4053,1,BU,359243,6,VICTORIA STREET,10
8,28,E06000023,0,308,South West,North of Temple Street,"Bristol, City of",1,946743,0,9,N,59,9/16/2010,2010,172727,4,0,208,B4053,0,BU,359243,10,VICTORIA STREET,11
6,24,E06000023,0,365,South West,North of Temple Street,"Bristol, City of",0,946743,0,10,N,45,9/16/2010,2010,172727,5,0,281,B4053,4,BU,359243,10,VICTORIA STREET,12
7,27,E06000023,0,359,South West,North of Temple Street,"Bristol, City of",0,946743,0,8,N,51,9/16/2010,2010,172727,8,0,265,B4053,1,BU,359243,14,VICTORIA STREET,13
6,31,E06000023,0,421,South West,North of Temple Street,"Bristol, City of",0,946743,0,8,N,61,9/16/2010,2010,172727,7,1,314,B4053,1,BU,359243,14,VICTORIA STREET,14
11,22,E06000023,0,397,South West,North of Temple Street,"Bristol, City of",1,946743,0,12,N,39,9/16/2010,2010,172727,14,0,310,B4053,0,BU,359243,17,VICTORIA STREET,15
5,24,E06000023,0,573,South West,North of Temple Street,"Bristol, City of",1,946743,0,6,N,64,9/16/2010,2010,172727,16,0,463,B4053,0,BU,359243,27,VICTORIA STREET,16
0,21,E06000023,0,600,South West,North of Temple Street,"Bristol, City of",0,946743,0,0,N,39,9/16/2010,2010,172727,29,0,511,B4053,0,BU,359243,52,VICTORIA STREET,17
0,26,E06000023,0,428,South West,North of Temple Street,"Bristol, City of",0,946743,0,0,N,24,9/16/2010,2010,172727,10,0,368,B4053,0,BU,359243,38,VICTORIA STREET,18
6,20,E06000023,1,305,South West,North of Temple Street,"Bristol, City of",1,946743,0,10,S,45,9/16/2010,2010,172727,5,1,225,B4053,1,BU,359243,33,VICTORIA STREET,7
2,17,E06000023,0,331,South West,North of Temple Street,"Bristol, City of",0,946743,0,2,S,34,9/16/2010,2010,172727,8,0,270,B4053,0,BU,359243,65,VICTORIA STREET,8
6,28,E06000023,1,358,South West,North of Temple Street,"Bristol, City of",0,946743,0,7,S,40,9/16/2010,2010,172727,4,0,279,B4053,0,BU,359243,23,VICTORIA STREET,9
8,29,E06000023,0,336,South West,North of Temple Street,"Bristol, City of",1,946743,0,10,S,36,9/16/2010,2010,172727,2,0,259,B4053,1,BU,359243,17,VICTORIA STREET,10
8,28,E06000023,0,308,South West,North of Temple Street,"Bristol, City of",1,946743,0,9,S,59,9/16/2010,2010,172727,4,0,208,B4053,0,BU,359243,12,VICTORIA STREET,11
6,24,E06000023,0,365,South West,North of Temple Street,"Bristol, City of",0,946743,0,10,S,45,9/16/2010,2010,172727,5,0,281,B4053,4,BU,359243,13,VICTORIA STREET,12
7,27,E06000023,0,359,South West,North of Temple Street,"Bristol, City of",0,946743,0,8,S,51,9/16/2010,2010,172727,8,0,265,B4053,1,BU,359243,21,VICTORIA STREET,13
6,31,E06000023,0,421,South West,North of Temple Street,"Bristol, City of",0,946743,0,8,S,61,9/16/2010,2010,172727,7,1,314,B4053,1,BU,359243,13,VICTORIA STREET,14
11,22,E06000023,0,397,South West,North of Temple Street,"Bristol, City of",1,946743,0,12,S,39,9/16/2010,2010,172727,14,0,310,B4053,0,BU,359243,6,VICTORIA STREET,15
5,24,E06000023,0,573,South West,North of Temple Street,"Bristol, City of",1,946743,0,6,S,64,9/16/2010,2010,172727,16,0,463,B4053,0,BU,359243,21,VICTORIA STREET,16
0,21,E06000023,0,600,South West,North of Temple Street,"Bristol, City of",0,946743,0,0,S,39,9/16/2010,2010,172727,29,0,511,B4053,0,BU,359243,29,VICTORIA STREET,17
0,26,E06000023,0,428,South West,North of Temple Street,"Bristol, City of",0,946743,0,0,S,24,9/16/2010,2010,172727,10,0,368,B4053,0,BU,359243,19,VICTORIA STREET,18
1,0,E06000024,0,95,South West,Easton-in-Gordano,North Somerset,0,947279,0,1,N,11,9/16/2010,2010,175672,2,0,81,U,0,UU,351386,3,CHURCH ROAD,7
0,0,E06000024,0,206,South West,Easton-in-Gordano,North Somerset,0,947279,0,0,N,23,9/16/2010,2010,175672,0,0,183,U,0,UU,351386,1,CHURCH ROAD,8
0,0,E06000024,0,70,South West,Easton-in-Gordano,North Somerset,0,947279,0,0,N,10,9/16/2010,2010,175672,0,0,60,U,0,UU,351386,0,CHURCH ROAD,9
0,0,E06000024,0,26,South West,Easton-in-Gordano,North Somerset,0,947279,0,0,N,3,9/16/2010,2010,175672,0,0,23,U,0,UU,351386,0,CHURCH ROAD,10
0,0,E06000024,0,27,South West,Easton-in-Gordano,North Somerset,0,947279,0,0,N,6,9/16/2010,2010,175672,0,0,21,U,0,UU,351386,1,CHURCH ROAD,11
0,0,E06000024,0,32,South West,Easton-in-Gordano,North Somerset,0,947279,0,0,N,1,9/16/2010,2010,175672,0,0,31,U,0,UU,351386,0,CHURCH ROAD,12
2,0,E06000024,0,56,South West,Easton-in-Gordano,North Somerset,0,947279,0,2,N,7,9/16/2010,2010,175672,2,0,45,U,0,UU,351386,1,CHURCH ROAD,13
0,0,E06000024,0,30,South West,Easton-in-Gordano,North Somerset,0,947279,0,0,N,2,9/16/2010,2010,175672,1,0,27,U,0,UU,351386,1,CHURCH ROAD,14
0,0,E06000024,0,37,South West,Easton-in-Gordano,North Somerset,0,947279,0,0,N,8,9/16/2010,2010,175672,0,0,29,U,0,UU,351386,2,CHURCH ROAD,15
0,0,E06000024,0,75,South West,Easton-in-Gordano,North Somerset,0,947279,0,0,N,9,9/16/2010,2010,175672,0,0,66,U,0,UU,351386,0,CHURCH ROAD,16
0,0,E06000024,0,199,South West,Easton-in-Gordano,North Somerset,0,947279,0,0,N,11,9/16/2010,2010,175672,4,0,184,U,0,UU,351386,4,CHURCH ROAD,17
0,0,E06000024,0,107,South West,Easton-in-Gordano,North Somerset,0,947279,0,0,N,9,9/16/2010,2010,175672,1,0,97,U,0,UU,351386,0,CHURCH ROAD,18
0,0,E06000024,0,13,South West,Easton-in-Gordano,North Somerset,0,947279,0,0,S,0,9/16/2010,2010,175672,0,0,13,U,0,UU,351386,0,CHURCH ROAD,7
0,0,E06000024,0,18,South West,Easton-in-Gordano,North Somerset,0,947279,0,0,S,4,9/16/2010,2010,175672,0,0,14,U,0,UU,351386,0,CHURCH ROAD,8
0,0,E06000024,0,14,South West,Easton-in-Gordano,North Somerset,0,947279,0,0,S,4,9/16/2010,2010,175672,0,0,10,U,0,UU,351386,0,CHURCH ROAD,9
0,0,E06000024,0,25,South West,Easton-in-Gordano,North Somerset,0,947279,0,1,S,7,9/16/2010,2010,175672,0,0,17,U,1,UU,351386,0,CHURCH ROAD,10
0,0,E06000024,0,25,South West,Easton-in-Gordano,North Somerset,0,947279,0,1,S,2,9/16/2010,2010,175672,0,0,22,U,1,UU,351386,1,CHURCH ROAD,11
0,0,E06000024,0,31,South West,Easton-in-Gordano,North Somerset,0,947279,0,0,S,2,9/16/2010,2010,175672,0,0,29,U,0,UU,351386,0,CHURCH ROAD,12
0,0,E06000024,0,40,South West,Easton-in-Gordano,North Somerset,0,947279,0,0,S,3,9/16/2010,2010,175672,2,0,35,U,0,UU,351386,0,CHURCH ROAD,13
0,0,E06000024,0,52,South West,Easton-in-Gordano,North Somerset,0,947279,0,0,S,3,9/16/2010,2010,175672,1,0,48,U,0,UU,351386,3,CHURCH ROAD,14
0,0,E06000024,0,53,South West,Easton-in-Gordano,North Somerset,0,947279,0,0,S,5,9/16/2010,2010,175672,4,0,44,U,0,UU,351386,2,CHURCH ROAD,15
0,0,E06000024,0,124,South West,Easton-in-Gordano,North Somerset,0,947279,0,0,S,19,9/16/2010,2010,175672,1,0,104,U,0,UU,351386,3,CHURCH ROAD,16
0,0,E06000024,0,141,South West,Easton-in-Gordano,North Somerset,0,947279,0,0,S,12,9/16/2010,2010,175672,3,0,126,U,0,UU,351386,3,CHURCH ROAD,17
0,0,E06000024,0,57,South West,Easton-in-Gordano,North Somerset,0,947279,0,0,S,5,9/16/2010,2010,175672,1,0,51,U,0,UU,351386,1,CHURCH ROAD,18
