HGVR2,BUS,ONS LACode,A Ref E,HGVR4,AMV,Region Name (GO),A-Junction,B Ref N,ONS LA Name,HGVA3,CP,HGVA6,HGV,iDir,LGV,dCount,Year,S Ref N,2WMV,HGVA5,CAR,Road,B Ref E,HGVR3,RCat,S Ref E,PC,A Ref N,B-Junction,Hour
46,6,E06000022,370150,2,1220,South West,A39,165575,Bath and North East Somerset,2,46133,1,60,E,171,3/27/2001,2001,165500,20,3,963,A4,371367,6,TR,371000,0,165330,A36,7
27,13,E06000022,370150,1,1576,South West,A39,165575,Bath and North East Somerset,1,46133,1,37,E,174,3/27/2001,2001,165500,28,2,1324,A4,371367,5,TR,371000,8,165330,A36,8
43,15,E06000022,370150,1,1034,South West,A39,165575,Bath and North East Somerset,5,46133,2,57,E,129,3/27/2001,2001,165500,13,1,820,A4,371367,5,TR,371000,5,165330,A36,9
35,16,E06000022,370150,5,897,South West,A39,165575,Bath and North East Somerset,1,46133,3,50,E,156,3/27/2001,2001,165500,9,3,666,A4,371367,3,TR,371000,1,165330,A36,10
37,12,E06000022,370150,2,763,South West,A39,165575,Bath and North East Somerset,3,46133,6,52,E,108,3/27/2001,2001,165500,8,2,583,A4,371367,2,TR,371000,0,165330,A36,11
31,11,E06000022,370150,2,773,South West,A39,165575,Bath and North East Somerset,1,46133,2,47,E,116,3/27/2001,2001,165500,11,8,588,A4,371367,3,TR,371000,4,165330,A36,12
19,13,E06000022,370150,1,800,South West,A39,165575,Bath and North East Somerset,3,46133,8,38,E,110,3/27/2001,2001,165500,7,2,632,A4,371367,5,TR,371000,1,165330,A36,13
29,12,E06000022,370150,0,744,South West,A39,165575,Bath and North East Somerset,1,46133,3,40,E,97,3/27/2001,2001,165500,8,4,587,A4,371367,3,TR,371000,0,165330,A36,14
30,15,E06000022,370150,1,819,South West,A39,165575,Bath and North East Somerset,0,46133,4,39,E,111,3/27/2001,2001,165500,7,2,647,A4,371367,2,TR,371000,2,165330,A36,15
19,18,E06000022,370150,2,860,South West,A39,165575,Bath and North East Somerset,2,46133,5,30,E,81,3/27/2001,2001,165500,16,1,715,A4,371367,1,TR,371000,2,165330,A36,16
11,13,E06000022,370150,0,854,South West,A39,165575,Bath and North East Somerset,0,46133,0,14,E,86,3/27/2001,2001,165500,21,1,720,A4,371367,2,TR,371000,2,165330,A36,17
6,11,E06000022,370150,0,759,South West,A39,165575,Bath and North East Somerset,0,46133,0,10,E,34,3/27/2001,2001,165500,7,2,697,A4,371367,2,TR,371000,2,165330,A36,18
27,16,E06000022,370150,1,815,South West,A39,165575,Bath and North East Somerset,2,46133,2,36,W,106,3/27/2001,2001,165500,14,3,643,A4,371367,1,TR,371000,3,165330,A36,7
27,16,E06000022,370150,0,912,South West,A39,165575,Bath and North East Somerset,2,46133,5,42,W,88,3/27/2001,2001,165500,16,4,750,A4,371367,4,TR,371000,7,165330,A36,8
39,12,E06000022,370150,0,748,South West,A39,165575,Bath and North East Somerset,1,46133,6,51,W,123,3/27/2001,2001,165500,8,1,554,A4,371367,4,TR,371000,4,165330,A36,9
27,20,E06000022,370150,1,666,South West,A39,165575,Bath and North East Somerset,1,46133,3,42,W,110,3/27/2001,2001,165500,8,6,486,A4,371367,4,TR,371000,1,165330,A36,10
42,10,E06000022,370150,1,791,South West,A39,165575,Bath and North East Somerset,1,46133,7,58,W,121,3/27/2001,2001,165500,12,4,590,A4,371367,3,TR,371000,2,165330,A36,11
41,18,E06000022,370150,1,917,South West,A39,165575,Bath and North East Somerset,4,46133,2,56,W,137,3/27/2001,2001,165500,14,5,692,A4,371367,3,TR,371000,0,165330,A36,12
27,18,E06000022,370150,4,845,South West,A39,165575,Bath and North East Somerset,1,46133,6,46,W,120,3/27/2001,2001,165500,5,4,656,A4,371367,4,TR,371000,1,165330,A36,13
33,11,E06000022,370150,2,913,South West,A39,165575,Bath and North East Somerset,2,46133,6,55,W,124,3/27/2001,2001,165500,7,5,716,A4,371367,7,TR,371000,1,165330,A36,14
30,19,E06000022,370150,4,1046,South West,A39,165575,Bath and North East Somerset,3,46133,3,50,W,158,3/27/2001,2001,165500,8,7,811,A4,371367,3,TR,371000,1,165330,A36,15
30,16,E06000022,370150,7,1261,South West,A39,165575,Bath and North East Somerset,1,46133,5,50,W,171,3/27/2001,2001,165500,21,2,1003,A4,371367,5,TR,371000,0,165330,A36,16
12,9,E06000022,370150,0,1404,South West,A39,165575,Bath and North East Somerset,0,46133,5,24,W,124,3/27/2001,2001,165500,31,5,1216,A4,371367,2,TR,371000,3,165330,A36,17
6,13,E06000022,370150,1,1031,South West,A39,165575,Bath and North East Somerset,1,46133,5,18,W,71,3/27/2001,2001,165500,14,5,915,A4,371367,0,TR,371000,2,165330,A36,18
