HGVR2,BUS,ONS LACode,Road Name,A Ref E,HGVR4,AMV,Region Name (GO),CP Location,A-Junction,B Ref N,ONS LA Name,HGVA3,CP,HGVA6,HGV,iDir,LGV,dCount,Year,S Ref N,2WMV,HGVA5,CAR,Road,B Ref E,HGVR3,RCat,S Ref E,PC,A Ref N,B-Junction,Hour
10,5,E06000024,,350670,6,987,South West,,M5 J 19,173120,North Somerset,1,56993,5,25,E,165,6/20/2008,2008,173270,14,0,778,A369,355220,3,PR,355000,12,175620,B3129,7
10,3,E06000024,,350670,7,826,South West,,M5 J 19,173120,North Somerset,0,56993,4,25,E,88,6/20/2008,2008,173270,18,3,692,A369,355220,1,PR,355000,14,175620,B3129,8
13,6,E06000024,,350670,7,750,South West,,M5 J 19,173120,North Somerset,0,56993,4,28,E,92,6/20/2008,2008,173270,9,1,615,A369,355220,3,PR,355000,3,175620,B3129,9
10,8,E06000024,,350670,3,619,South West,,M5 J 19,173120,North Somerset,2,56993,3,19,E,89,6/20/2008,2008,173270,4,0,499,A369,355220,1,PR,355000,0,175620,B3129,10
12,4,E06000024,,350670,7,614,South West,,M5 J 19,173120,North Somerset,1,56993,1,25,E,94,6/20/2008,2008,173270,7,1,484,A369,355220,3,PR,355000,4,175620,B3129,11
12,6,E06000024,,350670,10,706,South West,,M5 J 19,173120,North Somerset,0,56993,1,27,E,102,6/20/2008,2008,173270,5,1,566,A369,355220,3,PR,355000,1,175620,B3129,12
9,5,E06000024,,350670,2,664,South West,,M5 J 19,173120,North Somerset,1,56993,4,18,E,86,6/20/2008,2008,173270,13,0,542,A369,355220,2,PR,355000,1,175620,B3129,13
7,5,E06000024,,350670,4,664,South West,,M5 J 19,173120,North Somerset,0,56993,4,18,E,91,6/20/2008,2008,173270,9,1,541,A369,355220,2,PR,355000,0,175620,B3129,14
12,6,E06000024,,350670,7,786,South West,,M5 J 19,173120,North Somerset,1,56993,8,30,E,120,6/20/2008,2008,173270,10,1,620,A369,355220,1,PR,355000,6,175620,B3129,15
6,9,E06000024,,350670,8,851,South West,,M5 J 19,173120,North Somerset,0,56993,2,19,E,101,6/20/2008,2008,173270,10,0,712,A369,355220,3,PR,355000,3,175620,B3129,16
5,3,E06000024,,350670,1,877,South West,,M5 J 19,173120,North Somerset,0,56993,0,6,E,63,6/20/2008,2008,173270,8,0,797,A369,355220,0,PR,355000,3,175620,B3129,17
4,4,E06000024,,350670,0,682,South West,,M5 J 19,173120,North Somerset,0,56993,2,7,E,44,6/20/2008,2008,173270,6,1,621,A369,355220,0,PR,355000,1,175620,B3129,18
12,6,E06000024,,350670,6,641,South West,,M5 J 19,173120,North Somerset,4,56993,4,27,W,101,6/20/2008,2008,173270,9,0,498,A369,355220,1,PR,355000,5,175620,B3129,7
4,6,E06000024,,350670,4,756,South West,,M5 J 19,173120,North Somerset,0,56993,2,15,W,88,6/20/2008,2008,173270,10,3,637,A369,355220,2,PR,355000,7,175620,B3129,8
12,8,E06000024,,350670,8,488,South West,,M5 J 19,173120,North Somerset,2,56993,1,26,W,77,6/20/2008,2008,173270,7,1,370,A369,355220,2,PR,355000,5,175620,B3129,9
6,3,E06000024,,350670,3,442,South West,,M5 J 19,173120,North Somerset,1,56993,1,15,W,70,6/20/2008,2008,173270,6,1,348,A369,355220,3,PR,355000,1,175620,B3129,10
7,9,E06000024,,350670,6,489,South West,,M5 J 19,173120,North Somerset,0,56993,1,20,W,72,6/20/2008,2008,173270,4,1,384,A369,355220,5,PR,355000,0,175620,B3129,11
9,7,E06000024,,350670,1,583,South West,,M5 J 19,173120,North Somerset,0,56993,1,16,W,75,6/20/2008,2008,173270,7,0,478,A369,355220,5,PR,355000,2,175620,B3129,12
9,4,E06000024,,350670,1,618,South West,,M5 J 19,173120,North Somerset,0,56993,3,16,W,80,6/20/2008,2008,173270,9,0,509,A369,355220,3,PR,355000,4,175620,B3129,13
11,6,E06000024,,350670,0,618,South West,,M5 J 19,173120,North Somerset,0,56993,8,21,W,74,6/20/2008,2008,173270,9,1,508,A369,355220,1,PR,355000,4,175620,B3129,14
2,5,E06000024,,350670,0,635,South West,,M5 J 19,173120,North Somerset,1,56993,0,5,W,83,6/20/2008,2008,173270,9,2,533,A369,355220,0,PR,355000,3,175620,B3129,15
4,5,E06000024,,350670,0,649,South West,,M5 J 19,173120,North Somerset,2,56993,0,7,W,61,6/20/2008,2008,173270,10,1,566,A369,355220,0,PR,355000,3,175620,B3129,16
3,3,E06000024,,350670,0,601,South West,,M5 J 19,173120,North Somerset,0,56993,0,3,W,42,6/20/2008,2008,173270,12,0,541,A369,355220,0,PR,355000,7,175620,B3129,17
0,5,E06000024,,350670,0,718,South West,,M5 J 19,173120,North Somerset,0,56993,1,1,W,44,6/20/2008,2008,173270,7,0,661,A369,355220,0,PR,355000,16,175620,B3129,18
1,2,E06000023,SION HILL,,0,67,South West,North of Caledonia Place,,,"Bristol, City of",0,930431,0,1,N,7,6/20/2008,2008,172990,0,0,57,U,,0,UU,356640,3,,,7
1,1,E06000023,SION HILL,,1,91,South West,North of Caledonia Place,,,"Bristol, City of",0,930431,0,2,N,14,6/20/2008,2008,172990,0,0,74,U,,0,UU,356640,6,,,8
1,2,E06000023,SION HILL,,0,67,South West,North of Caledonia Place,,,"Bristol, City of",0,930431,0,1,N,7,6/20/2008,2008,172990,1,0,56,U,,0,UU,356640,2,,,9
1,3,E06000023,SION HILL,,0,73,South West,North of Caledonia Place,,,"Bristol, City of",0,930431,0,1,N,7,6/20/2008,2008,172990,1,0,61,U,,0,UU,356640,0,,,10
