HGVR2,BUS,ONS LACode,HGVR4,AMV,Region Name (GO),CP Location,ONS LA Name,HGVA3,CP,HGVA6,HGV,iDir,LGV,dCount,Year,S Ref N,2WMV,HGVA5,CAR,Road,HGVR3,RCat,S Ref E,PC,Road Name,Hour
4,4,E06000024,1,266,South West,Worle,North Somerset,1,930448,0,6,E,39,3/23/2009,2009,163110,9,0,208,U,0,UU,336170,4,QUEEN'S WAY,7
5,6,E06000024,0,536,South West,Worle,North Somerset,0,930448,0,5,E,49,3/23/2009,2009,163110,5,0,471,U,0,UU,336170,9,QUEEN'S WAY,8
10,7,E06000024,0,599,South West,Worle,North Somerset,1,930448,0,12,E,63,3/23/2009,2009,163110,2,0,515,U,1,UU,336170,5,QUEEN'S WAY,9
5,6,E06000024,0,419,South West,Worle,North Somerset,0,930448,0,8,E,54,3/23/2009,2009,163110,3,1,348,U,2,UU,336170,1,QUEEN'S WAY,10
4,5,E06000024,1,439,South West,Worle,North Somerset,0,930448,0,5,E,46,3/23/2009,2009,163110,3,0,380,U,0,UU,336170,0,QUEEN'S WAY,11
6,5,E06000024,1,484,South West,Worle,North Somerset,1,930448,0,9,E,47,3/23/2009,2009,163110,1,0,422,U,1,UU,336170,1,QUEEN'S WAY,12
7,6,E06000024,0,449,South West,Worle,North Somerset,0,930448,0,8,E,43,3/23/2009,2009,163110,4,0,388,U,1,UU,336170,3,QUEEN'S WAY,13
6,9,E06000024,0,521,South West,Worle,North Somerset,0,930448,0,6,E,51,3/23/2009,2009,163110,5,0,450,U,0,UU,336170,1,QUEEN'S WAY,14
3,7,E06000024,0,552,South West,Worle,North Somerset,0,930448,0,3,E,53,3/23/2009,2009,163110,2,0,487,U,0,UU,336170,2,QUEEN'S WAY,15
0,7,E06000024,0,468,South West,Worle,North Somerset,0,930448,0,1,E,55,3/23/2009,2009,163110,3,0,402,U,1,UU,336170,3,QUEEN'S WAY,16
0,4,E06000024,0,538,South West,Worle,North Somerset,0,930448,0,0,E,45,3/23/2009,2009,163110,4,0,485,U,0,UU,336170,4,QUEEN'S WAY,17
0,3,E06000024,0,442,South West,Worle,North Somerset,0,930448,0,0,E,33,3/23/2009,2009,163110,3,0,403,U,0,UU,336170,3,QUEEN'S WAY,18
7,3,E06000024,0,261,South West,Worle,North Somerset,0,930448,1,8,W,39,3/23/2009,2009,163110,4,0,207,U,0,UU,336170,1,QUEEN'S WAY,7
6,8,E06000024,0,635,South West,Worle,North Somerset,0,930448,0,8,W,83,3/23/2009,2009,163110,7,0,529,U,2,UU,336170,2,QUEEN'S WAY,8
7,6,E06000024,1,399,South West,Worle,North Somerset,0,930448,0,9,W,50,3/23/2009,2009,163110,2,0,332,U,1,UU,336170,2,QUEEN'S WAY,9
1,6,E06000024,0,397,South West,Worle,North Somerset,0,930448,0,2,W,46,3/23/2009,2009,163110,1,0,342,U,1,UU,336170,0,QUEEN'S WAY,10
7,9,E06000024,0,477,South West,Worle,North Somerset,0,930448,0,8,W,50,3/23/2009,2009,163110,2,0,408,U,1,UU,336170,3,QUEEN'S WAY,11
3,9,E06000024,1,473,South West,Worle,North Somerset,0,930448,0,7,W,54,3/23/2009,2009,163110,0,0,403,U,3,UU,336170,0,QUEEN'S WAY,12
9,12,E06000024,0,460,South West,Worle,North Somerset,0,930448,0,9,W,36,3/23/2009,2009,163110,2,0,401,U,0,UU,336170,0,QUEEN'S WAY,13
5,10,E06000024,1,491,South West,Worle,North Somerset,0,930448,0,6,W,49,3/23/2009,2009,163110,1,0,425,U,0,UU,336170,1,QUEEN'S WAY,14
2,9,E06000024,0,655,South West,Worle,North Somerset,1,930448,0,3,W,70,3/23/2009,2009,163110,2,0,571,U,0,UU,336170,3,QUEEN'S WAY,15
1,11,E06000024,0,699,South West,Worle,North Somerset,0,930448,0,2,W,67,3/23/2009,2009,163110,7,0,612,U,1,UU,336170,4,QUEEN'S WAY,16
2,7,E06000024,0,716,South West,Worle,North Somerset,0,930448,0,2,W,78,3/23/2009,2009,163110,9,0,620,U,0,UU,336170,2,QUEEN'S WAY,17
1,3,E06000024,0,569,South West,Worle,North Somerset,0,930448,0,1,W,52,3/23/2009,2009,163110,28,0,485,U,0,UU,336170,2,QUEEN'S WAY,18
