HGVR2,BUS,ONS LACode,HGVR4,AMV,Region Name (GO),CP Location,ONS LA Name,HGVA3,CP,HGVA6,HGV,iDir,LGV,dCount,Year,S Ref N,2WMV,HGVA5,CAR,Road,HGVR3,RCat,S Ref E,PC,Road Name,Hour
0,1,E06000024,0,87,South West,"East of School Lane, Wrington",North Somerset,0,945731,0,0,E,9,7/5/2004,2004,162853,2,0,75,C,0,CR,348438,0,Long Lane,7
1,1,E06000024,0,96,South West,"East of School Lane, Wrington",North Somerset,0,945731,0,1,E,13,7/5/2004,2004,162853,2,0,79,C,0,CR,348438,0,Long Lane,8
2,1,E06000024,0,45,South West,"East of School Lane, Wrington",North Somerset,0,945731,0,2,E,3,7/5/2004,2004,162853,0,0,39,C,0,CR,348438,0,Long Lane,9
0,1,E06000024,0,36,South West,"East of School Lane, Wrington",North Somerset,0,945731,0,0,E,6,7/5/2004,2004,162853,0,0,29,C,0,CR,348438,0,Long Lane,10
1,1,E06000024,1,34,South West,"East of School Lane, Wrington",North Somerset,0,945731,0,2,E,7,7/5/2004,2004,162853,1,0,23,C,0,CR,348438,0,Long Lane,11
2,1,E06000024,0,53,South West,"East of School Lane, Wrington",North Somerset,0,945731,0,2,E,8,7/5/2004,2004,162853,0,0,42,C,0,CR,348438,0,Long Lane,12
0,1,E06000024,0,46,South West,"East of School Lane, Wrington",North Somerset,0,945731,0,0,E,8,7/5/2004,2004,162853,0,0,37,C,0,CR,348438,0,Long Lane,13
2,1,E06000024,0,30,South West,"East of School Lane, Wrington",North Somerset,0,945731,0,2,E,4,7/5/2004,2004,162853,0,0,23,C,0,CR,348438,0,Long Lane,14
0,0,E06000024,0,35,South West,"East of School Lane, Wrington",North Somerset,0,945731,0,0,E,4,7/5/2004,2004,162853,0,0,31,C,0,CR,348438,2,Long Lane,15
1,1,E06000024,0,42,South West,"East of School Lane, Wrington",North Somerset,0,945731,0,1,E,4,7/5/2004,2004,162853,0,0,36,C,0,CR,348438,1,Long Lane,16
0,1,E06000024,0,46,South West,"East of School Lane, Wrington",North Somerset,0,945731,0,0,E,11,7/5/2004,2004,162853,0,0,34,C,0,CR,348438,1,Long Lane,17
1,0,E06000024,0,26,South West,"East of School Lane, Wrington",North Somerset,0,945731,0,1,E,5,7/5/2004,2004,162853,0,0,20,C,0,CR,348438,2,Long Lane,18
0,0,E06000024,0,29,South West,"East of School Lane, Wrington",North Somerset,0,945731,0,0,W,9,7/5/2004,2004,162853,0,0,20,C,0,CR,348438,0,Long Lane,7
0,1,E06000024,0,52,South West,"East of School Lane, Wrington",North Somerset,0,945731,0,0,W,8,7/5/2004,2004,162853,1,0,42,C,0,CR,348438,1,Long Lane,8
2,1,E06000024,0,34,South West,"East of School Lane, Wrington",North Somerset,0,945731,0,2,W,3,7/5/2004,2004,162853,1,0,27,C,0,CR,348438,0,Long Lane,9
1,1,E06000024,0,44,South West,"East of School Lane, Wrington",North Somerset,0,945731,0,1,W,7,7/5/2004,2004,162853,0,0,35,C,0,CR,348438,0,Long Lane,10
1,1,E06000024,0,39,South West,"East of School Lane, Wrington",North Somerset,0,945731,0,1,W,5,7/5/2004,2004,162853,1,0,31,C,0,CR,348438,1,Long Lane,11
2,1,E06000024,0,48,South West,"East of School Lane, Wrington",North Somerset,0,945731,0,2,W,7,7/5/2004,2004,162853,1,0,37,C,0,CR,348438,0,Long Lane,12
2,2,E06000024,0,41,South West,"East of School Lane, Wrington",North Somerset,0,945731,0,3,W,6,7/5/2004,2004,162853,1,0,29,C,1,CR,348438,0,Long Lane,13
4,1,E06000024,0,48,South West,"East of School Lane, Wrington",North Somerset,0,945731,0,4,W,6,7/5/2004,2004,162853,0,0,37,C,0,CR,348438,0,Long Lane,14
0,1,E06000024,0,57,South West,"East of School Lane, Wrington",North Somerset,0,945731,0,0,W,5,7/5/2004,2004,162853,0,0,51,C,0,CR,348438,1,Long Lane,15
1,0,E06000024,0,65,South West,"East of School Lane, Wrington",North Somerset,0,945731,0,1,W,11,7/5/2004,2004,162853,0,0,53,C,0,CR,348438,0,Long Lane,16
0,1,E06000024,0,99,South West,"East of School Lane, Wrington",North Somerset,0,945731,0,0,W,7,7/5/2004,2004,162853,2,0,89,C,0,CR,348438,0,Long Lane,17
0,2,E06000024,0,67,South West,"East of School Lane, Wrington",North Somerset,0,945731,0,0,W,3,7/5/2004,2004,162853,2,0,60,C,0,CR,348438,1,Long Lane,18
