HGVR2,BUS,ONS LACode,Road Name,A Ref E,HGVR4,AMV,Region Name (GO),CP Location,A-Junction,B Ref N,ONS LA Name,HGVA3,CP,HGVA6,HGV,iDir,LGV,dCount,Year,S Ref N,2WMV,HGVA5,CAR,Road,B Ref E,HGVR3,RCat,S Ref E,PC,A Ref N,B-Junction,Hour
42,0,E06000025,,374452,11,1423,South West,,Sands Hill,178163,South Gloucestershire,5,46510,9,87,N,162,4/11/2003,2003,175000,2,10,1172,A46,375767,10,TR,374760,0,172774,M4 J18,7
41,2,E06000025,,374452,7,1327,South West,,Sands Hill,178163,South Gloucestershire,5,46510,6,82,N,144,4/11/2003,2003,175000,8,12,1091,A46,375767,11,TR,374760,0,172774,M4 J18,8
38,2,E06000025,,374452,5,964,South West,,Sands Hill,178163,South Gloucestershire,3,46510,7,76,N,101,4/11/2003,2003,175000,3,17,782,A46,375767,6,TR,374760,0,172774,M4 J18,9
37,0,E06000025,,374452,4,709,South West,,Sands Hill,178163,South Gloucestershire,2,46510,8,71,N,74,4/11/2003,2003,175000,2,11,562,A46,375767,9,TR,374760,0,172774,M4 J18,10
33,1,E06000025,,374452,5,620,South West,,Sands Hill,178163,South Gloucestershire,6,46510,7,68,N,60,4/11/2003,2003,175000,4,12,487,A46,375767,5,TR,374760,0,172774,M4 J18,11
44,1,E06000025,,374452,3,776,South West,,Sands Hill,178163,South Gloucestershire,10,46510,3,87,N,79,4/11/2003,2003,175000,1,18,608,A46,375767,9,TR,374760,0,172774,M4 J18,12
30,3,E06000025,,374452,9,906,South West,,Sands Hill,178163,South Gloucestershire,1,46510,13,65,N,101,4/11/2003,2003,175000,7,10,730,A46,375767,2,TR,374760,0,172774,M4 J18,13
52,3,E06000025,,374452,6,998,South West,,Sands Hill,178163,South Gloucestershire,1,46510,10,87,N,121,4/11/2003,2003,175000,4,9,783,A46,375767,9,TR,374760,0,172774,M4 J18,14
26,4,E06000025,,374452,6,955,South West,,Sands Hill,178163,South Gloucestershire,1,46510,7,61,N,126,4/11/2003,2003,175000,8,13,756,A46,375767,8,TR,374760,1,172774,M4 J18,15
22,5,E06000025,,374452,6,1154,South West,,Sands Hill,178163,South Gloucestershire,1,46510,7,49,N,116,4/11/2003,2003,175000,6,9,978,A46,375767,4,TR,374760,0,172774,M4 J18,16
24,10,E06000025,,374452,4,1175,South West,,Sands Hill,178163,South Gloucestershire,0,46510,11,43,N,119,4/11/2003,2003,175000,10,3,993,A46,375767,1,TR,374760,0,172774,M4 J18,17
18,4,E06000025,,374452,3,904,South West,,Sands Hill,178163,South Gloucestershire,4,46510,8,43,N,44,4/11/2003,2003,175000,6,8,807,A46,375767,2,TR,374760,0,172774,M4 J18,18
53,1,E06000025,,374452,2,880,South West,,Sands Hill,178163,South Gloucestershire,9,46510,18,107,S,213,4/11/2003,2003,175000,6,16,553,A46,375767,9,TR,374760,0,172774,M4 J18,7
45,3,E06000025,,374452,6,1066,South West,,Sands Hill,178163,South Gloucestershire,3,46510,9,86,S,143,4/11/2003,2003,175000,9,9,825,A46,375767,14,TR,374760,0,172774,M4 J18,8
24,3,E06000025,,374452,4,768,South West,,Sands Hill,178163,South Gloucestershire,5,46510,12,66,S,109,4/11/2003,2003,175000,2,13,588,A46,375767,8,TR,374760,0,172774,M4 J18,9
24,2,E06000025,,374452,1,667,South West,,Sands Hill,178163,South Gloucestershire,3,46510,24,77,S,89,4/11/2003,2003,175000,8,19,491,A46,375767,6,TR,374760,0,172774,M4 J18,10
21,0,E06000025,,374452,1,587,South West,,Sands Hill,178163,South Gloucestershire,3,46510,13,56,S,68,4/11/2003,2003,175000,4,11,459,A46,375767,7,TR,374760,0,172774,M4 J18,11
31,1,E06000025,,374452,7,768,South West,,Sands Hill,178163,South Gloucestershire,3,46510,13,82,S,102,4/11/2003,2003,175000,6,17,577,A46,375767,11,TR,374760,0,172774,M4 J18,12
