HGVR2,BUS,ONS LACode,Road Name,A Ref E,HGVR4,AMV,Region Name (GO),CP Location,A-Junction,B Ref N,ONS LA Name,HGVA3,CP,HGVA6,HGV,iDir,LGV,dCount,Year,S Ref N,2WMV,HGVA5,CAR,Road,B Ref E,HGVR3,RCat,S Ref E,PC,A Ref N,B-Junction,Hour
9,0,E06000025,,363608,5,224,South West,,B4061,193487,South Gloucestershire,2,46406,1,23,N,33,6/24/2003,2003,190000,4,1,164,A38,368421,5,PR,366107,0,188100,B4509,7
13,1,E06000025,,363608,2,286,South West,,B4061,193487,South Gloucestershire,1,46406,0,22,N,48,6/24/2003,2003,190000,2,0,213,A38,368421,6,PR,366107,1,188100,B4509,8
11,0,E06000025,,363608,1,211,South West,,B4061,193487,South Gloucestershire,0,46406,0,16,N,21,6/24/2003,2003,190000,1,1,173,A38,368421,3,PR,366107,0,188100,B4509,9
4,1,E06000025,,363608,3,257,South West,,B4061,193487,South Gloucestershire,4,46406,1,16,N,49,6/24/2003,2003,190000,0,1,191,A38,368421,3,PR,366107,1,188100,B4509,10
6,2,E06000025,,363608,3,274,South West,,B4061,193487,South Gloucestershire,3,46406,1,19,N,30,6/24/2003,2003,190000,0,2,223,A38,368421,4,PR,366107,3,188100,B4509,11
4,0,E06000025,,363608,2,285,South West,,B4061,193487,South Gloucestershire,0,46406,2,14,N,44,6/24/2003,2003,190000,4,2,223,A38,368421,4,PR,366107,0,188100,B4509,12
9,0,E06000025,,363608,4,255,South West,,B4061,193487,South Gloucestershire,1,46406,0,18,N,33,6/24/2003,2003,190000,1,0,203,A38,368421,4,PR,366107,3,188100,B4509,13
1,2,E06000025,,363608,3,246,South West,,B4061,193487,South Gloucestershire,0,46406,2,10,N,22,6/24/2003,2003,190000,5,3,207,A38,368421,1,PR,366107,2,188100,B4509,14
7,3,E06000025,,363608,6,263,South West,,B4061,193487,South Gloucestershire,1,46406,1,17,N,24,6/24/2003,2003,190000,5,1,214,A38,368421,1,PR,366107,0,188100,B4509,15
1,0,E06000025,,363608,1,332,South West,,B4061,193487,South Gloucestershire,1,46406,1,6,N,41,6/24/2003,2003,190000,9,2,276,A38,368421,0,PR,366107,5,188100,B4509,16
6,0,E06000025,,363608,0,377,South West,,B4061,193487,South Gloucestershire,0,46406,0,9,N,24,6/24/2003,2003,190000,9,2,335,A38,368421,1,PR,366107,5,188100,B4509,17
