HGVR2,BUS,ONS LACode,A Ref E,HGVR4,AMV,Region Name (GO),A-Junction,B Ref N,ONS LA Name,HGVA3,CP,HGVA6,HGV,iDir,LGV,dCount,Year,S Ref N,2WMV,HGVA5,CAR,Road,B Ref E,HGVR3,RCat,S Ref E,PC,A Ref N,B-Junction,Hour
12,16,E06000022,364160,0,300,South West,A4174 roundabout,168950,Bath and North East Somerset,0,57290,0,16,E,55,4/27/2001,2001,169000,2,0,211,A4175,364790,4,PR,364728,6,169700,road from Stockwood Hill,7
10,9,E06000022,364160,0,395,South West,A4174 roundabout,168950,Bath and North East Somerset,0,57290,0,12,E,53,4/27/2001,2001,169000,2,0,319,A4175,364790,2,PR,364728,7,169700,road from Stockwood Hill,8
17,7,E06000022,364160,0,384,South West,A4174 roundabout,168950,Bath and North East Somerset,0,57290,2,24,E,50,4/27/2001,2001,169000,3,2,300,A4175,364790,3,PR,364728,3,169700,road from Stockwood Hill,9
17,5,E06000022,364160,0,340,South West,A4174 roundabout,168950,Bath and North East Somerset,2,57290,0,19,E,48,4/27/2001,2001,169000,2,0,266,A4175,364790,0,PR,364728,4,169700,road from Stockwood Hill,10
10,6,E06000022,364160,1,334,South West,A4174 roundabout,168950,Bath and North East Somerset,0,57290,1,16,E,50,4/27/2001,2001,169000,0,2,262,A4175,364790,2,PR,364728,1,169700,road from Stockwood Hill,11
9,8,E06000022,364160,1,414,South West,A4174 roundabout,168950,Bath and North East Somerset,0,57290,1,13,E,46,4/27/2001,2001,169000,4,2,343,A4175,364790,0,PR,364728,4,169700,road from Stockwood Hill,12
17,5,E06000022,364160,1,401,South West,A4174 roundabout,168950,Bath and North East Somerset,1,57290,2,23,E,45,4/27/2001,2001,169000,4,0,324,A4175,364790,2,PR,364728,5,169700,road from Stockwood Hill,13
11,11,E06000022,364160,0,378,South West,A4174 roundabout,168950,Bath and North East Somerset,1,57290,2,16,E,50,4/27/2001,2001,169000,4,1,297,A4175,364790,1,PR,364728,5,169700,road from Stockwood Hill,14
9,8,E06000022,364160,0,478,South West,A4174 roundabout,168950,Bath and North East Somerset,0,57290,1,11,E,54,4/27/2001,2001,169000,12,0,393,A4175,364790,1,PR,364728,4,169700,road from Stockwood Hill,15
4,7,E06000022,364160,0,564,South West,A4174 roundabout,168950,Bath and North East Somerset,0,57290,1,7,E,67,4/27/2001,2001,169000,19,0,464,A4175,364790,2,PR,364728,11,169700,road from Stockwood Hill,16
4,8,E06000022,364160,0,551,South West,A4174 roundabout,168950,Bath and North East Somerset,0,57290,5,10,E,45,4/27/2001,2001,169000,14,1,474,A4175,364790,0,PR,364728,6,169700,road from Stockwood Hill,17
3,5,E06000022,364160,0,500,South West,A4174 roundabout,168950,Bath and North East Somerset,0,57290,1,4,E,35,4/27/2001,2001,169000,8,0,448,A4175,364790,0,PR,364728,1,169700,road from Stockwood Hill,18
12,7,E06000022,364160,0,565,South West,A4174 roundabout,168950,Bath and North East Somerset,0,57290,1,15,W,105,4/27/2001,2001,169000,10,0,428,A4175,364790,2,PR,364728,14,169700,road from Stockwood Hill,7
17,14,E06000022,364160,0,510,South West,A4174 roundabout,168950,Bath and North East Somerset,1,57290,3,25,W,60,4/27/2001,2001,169000,12,1,399,A4175,364790,3,PR,364728,12,169700,road from Stockwood Hill,8
15,9,E06000022,364160,0,460,South West,A4174 roundabout,168950,Bath and North East Somerset,0,57290,3,19,W,55,4/27/2001,2001,169000,6,0,371,A4175,364790,1,PR,364728,4,169700,road from Stockwood Hill,9
16,6,E06000022,364160,0,353,South West,A4174 roundabout,168950,Bath and North East Somerset,0,57290,2,22,W,46,4/27/2001,2001,169000,3,3,276,A4175,364790,1,PR,364728,4,169700,road from Stockwood Hill,10
26,6,E06000022,364160,0,393,South West,A4174 roundabout,168950,Bath and North East Somerset,0,57290,0,28,W,56,4/27/2001,2001,169000,1,0,302,A4175,364790,2,PR,364728,2,169700,road from Stockwood Hill,11
10,7,E06000022,364160,1,458,South West,A4174 roundabout,168950,Bath and North East Somerset,3,57290,2,19,W,58,4/27/2001,2001,169000,5,2,369,A4175,364790,1,PR,364728,1,169700,road from Stockwood Hill,12
19,5,E06000022,364160,0,464,South West,A4174 roundabout,168950,Bath and North East Somerset,0,57290,3,27,W,56,4/27/2001,2001,169000,7,1,369,A4175,364790,4,PR,364728,1,169700,road from Stockwood Hill,13
14,8,E06000022,364160,1,410,South West,A4174 roundabout,168950,Bath and North East Somerset,1,57290,1,20,W,60,4/27/2001,2001,169000,0,1,322,A4175,364790,2,PR,364728,5,169700,road from Stockwood Hill,14
14,6,E06000022,364160,1,387,South West,A4174 roundabout,168950,Bath and North East Somerset,1,57290,0,17,W,54,4/27/2001,2001,169000,2,0,308,A4175,364790,1,PR,364728,3,169700,road from Stockwood Hill,15
8,7,E06000022,364160,0,465,South West,A4174 roundabout,168950,Bath and North East Somerset,0,57290,1,11,W,50,4/27/2001,2001,169000,7,0,390,A4175,364790,2,PR,364728,10,169700,road from Stockwood Hill,16
8,6,E06000022,364160,0,459,South West,A4174 roundabout,168950,Bath and North East Somerset,0,57290,2,13,W,63,4/27/2001,2001,169000,4,2,373,A4175,364790,1,PR,364728,4,169700,road from Stockwood Hill,17
6,8,E06000022,364160,1,481,South West,A4174 roundabout,168950,Bath and North East Somerset,0,57290,0,8,W,34,4/27/2001,2001,169000,5,0,426,A4175,364790,1,PR,364728,9,169700,road from Stockwood Hill,18
